Company,Location,Salary
متانکست | Metanext,خراسان رضوی، مشهد,26000000
کانادا کریت | Canada Create,خراسان رضوی، مشهد,18000000
ولتیفای | Walletifai,تهران، تهران,28000000
افرا تجارت آدنيس | Afra Tejarat Adnis,تهران، تهران,20000000
گروه مهندسی آی کن | ICAN,تهران، تهران,12000000
شتاب سیستم دنیا (رایسا) | Raisa Sys,تهران، تهران,16000000
ماورای ابعاد رایکا | Mavaraye Abad Rayka,تهران، تهران,14000000
توسعه داده پردازان رسام آریا | Tosee Dadeh Pardazan Rasam Aria,خراسان رضوی، مشهد,20000000
ماورای ابعاد رایکا | Mavaraye Abad Rayka,تهران، تهران,15000000
پارسیس | Parsys,خراسان رضوی، مشهد,10000000
ابرناک | abrNOC,تهران، تهران,45000000
تاپس | Tops,تهران، تهران,12000000
تجارت انرژی توحید | Tohid Energy Trade,خراسان رضوی، مشهد,20000000
اکس ماژول | Exmodule,خراسان رضوی، مشهد,15000000
بقراط | Boghrat,تهران، تهران,10000000
آکادمی جمال قمری | JamalGhamari Academy,تهران، تهران,15000000
حسابو | Hesabo,تهران، تهران,15000000
صرافی بیت | Bit,تهران، تهران,15000000
روان آموز  |  Ravanamooz,خراسان رضوی، مشهد,8000000
یگانه ارتباطات پیشرو | Yeganeh Ertebatat Pishro,قزوین، قزوین,10000000
پخش فردوس | FerdowsDCO,تهران، تهران,20000000
رف-رف | Rafraf,البرز، کرج,15000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,10000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,9000000
ندا رسانان پیشرو | NRP,تهران، تهران,26000000
آتی رویکرد افکار | Ati Roykard Afkar,تهران، تهران,8000000
آکادمی آموزش املاک امید ابراهیمی  | Omid Ebrahimi Real Estate Academy,تهران، تهران,12000000
وبیفا | Webifa,تهران، تهران,8000000
بستینال سرویس | Bestinall Service,تهران، تهران,12000000
نورانو (نوران ارتباطات نوین) | Noorano,تهران، تهران,12000000
سی آر ام ایده آل | CRM IDEAL,تهران، تهران,15000000
سی آر ام ایده آل | CRM IDEAL,تهران، تهران,15000000
بنیان انرژی سبز مانا | Mana Green Energy,خراسان رضوی، مشهد,10000000
دیتاشف | DataChef,تهران، تهران,26000000
رایان پژوه سلامت | Rayanpajouh Salamat,تهران، تهران,14000000
راهکا اندیش مارلیک | Rahkar Andish Marlik,گیلان، رشت,9000000
بنیان انرژی سبز مانا | Mana Green Energy,خراسان رضوی، مشهد,7000000
بیتشال | Bitcial,تهران، تهران,50000000
آروین شبکه مایان | Redwave,تهران، تهران,12000000
دیتاشف | DataChef,تهران، تهران,26000000
دانش بنیان پیام گستر فاوا | PayamGostar FAVA,تهران، تهران,15000000
رصد سرمایه هوشمند | Rasad,اصفهان، اصفهان,14000000
استودیو کریتیو باگ | Creative Bug Studio,خراسان رضوی، مشهد,15000000
توسعه کسب و کار لیدوما | Lidoma Business Development,البرز، کرج,14000000
مهیمن | Mohaymen,تهران، تهران,15000000
متانکست | Metanext,خراسان رضوی، مشهد,15000000
نشاط رخ | Neshatrokh,اصفهان، اصفهان,10000000
برقچی | Barghchi,تهران، تهران,12000000
چارت باکس | Chartbox,تهران، تهران,15000000
صنایع دستی پارسیان  | Parsian Handicrafs,اصفهان، اصفهان,5000000
راهکار حامی پرداز | Rahkar Hami Pardaz,تهران، تهران,26000000
